Reference, Value, Footprint,,,,
RV1,100k,jack:poti,,10k poti,06-01-80,1
AE1,Antenna,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,1k 0805,81-27-93,4
BT1,6VDC,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,"2,7k 0805",81-10-92,3
C1,180p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,10k 0805,81-34-76,1
C10,47p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,100k 0805,81-34-79,1
C11,180p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,220k 0805,81-30-75,3
C12,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1M 0805,81-20-93,2
C13,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C14,47u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,
C15,150p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C16,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C17,1n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C18,47u,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,,,
C2,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C3,150p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C4,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C5,100n,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C6,100p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C7,100p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C8,180p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
C9,100p,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,
J1,jack,jack:jack,,,,
L1,210cm9me,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
L2,10u,Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,,,,
Q1,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q2,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q3,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q4,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q5,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q6,BC847,Package_TO_SOT_SMD:SOT-23,,,,
Q7,BC847,Package_TO_SOT_SMD:SOT-23,,,,
R1,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R10,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R11,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R12,10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R13,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R14,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R2,220k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R3,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R4,220k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R5,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R6,220k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R7,"2,7k",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R8,"2,7k",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
R9,"2,7k",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,
Y1,3579kHz,Crystal:Crystal_SMD_HC49-SD_HandSoldering,,,,
